Title,Year,Genre,Rating,Plot,PosterURL,VideoUrl
Avatar,2009,"Action, Adventure, Fantasy",7.9,A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.,https://m.media-amazon.com/images/M/MV5BMDEzMmQwZjctZWU2My00MWNlLWE0NjItMDJlYTRlNGJiZjcyXkEyXkFqcGc@._V1_SX300.jpg,https://youtu.be/Qx7aEV_a6r0
Star War the Third Gathers: The Backstroke of the West,2010,"Action, Comedy, Sci-Fi",,Mistranslated fandub of Star Wars: Episode III - Revenge of the Sith (2005).,https://m.media-amazon.com/images/M/MV5BMmNjNjI5ZDItNDliMi00MTc3LThkMGQtNWQ1Nzg1NDNlNTM3XkEyXkFqcGc@._V1_SX300.jpg,https://youtu.be/mTH4qIBDDV0
Your Name,2015,Short,8.9,Ibe Riki and Riko Takeo are preparing for a wedding ceremony.,https://m.media-amazon.com/images/M/MV5BYzY1OWZiN2YtMWU3My00M2YyLWI1M2EtNTljMTMwMzM5NDQ0XkEyXkFqcGc@._V1_SX300.jpg,https://youtu.be/9hFWutGWs54
Titanic,1997,"Drama, Romance",7.9,"A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic.",https://m.media-amazon.com/images/M/MV5BYzYyN2FiZmUtYWYzMy00MzViLWJkZTMtOGY1ZjgzNWMwN2YxXkEyXkFqcGc@._V1_SX300.jpg,https://youtu.be/raJ8CXRs5O8
The Good Student,2006,"Comedy, Mystery",4.8,An unpopular high school teacher turns his life around after a student is kidnapped.,https://m.media-amazon.com/images/M/MV5BMTQxNTAxODkwMF5BMl5BanBnXkFtZTcwMDM3MzYwMg@@._V1_SX300.jpg,https://youtu.be/G_angLL4FeE
The Jungle King,1994,"Animation, Family, Musical",5.7,A reluctant lion king has his paws full trying to save his jungle kingdom.,https://m.media-amazon.com/images/M/MV5BMTI4ODEzNTM4NV5BMl5BanBnXkFtZTcwNDI0OTQ1MQ@@._V1_SX300.jpg,https://youtu.be/dmd7h5p2cp8
Silent Night,2023,"Action, Thriller",5.3,A grieving father enacts his long-awaited revenge against a ruthless gang on Christmas Eve.,https://m.media-amazon.com/images/M/MV5BNzhjM2Q5ZmItNzkyMC00YjU5LWI3N2QtM2E5OGJhMGMxOGEzXkEyXkFqcGc@._V1_SX300.jpg,https://youtu.be/U9us98iOgEs
Spider-Man,2002,"Action, Adventure, Sci-Fi",7.4,"After being bitten by a genetically-modified spider, a shy teenager gains spider-like abilities that he uses to fight injustice as a masked superhero and face a vengeful enemy.",https://m.media-amazon.com/images/M/MV5BZWM0OWVmNTEtNWVkOS00MzgyLTkyMzgtMmE2ZTZiNjY4MmFiXkEyXkFqcGc@._V1_SX300.jpg,https://youtu.be/DoLAsMXxGxw
Thor,2011,"Action, Fantasy",7,"The powerful but arrogant god Thor is cast out of Asgard to live amongst humans in Midgard (Earth), where he soon becomes one of their finest defenders.",https://m.media-amazon.com/images/M/MV5BNjRhNGZjZjEtYTQzYS00OWUxLThjNGEtMTIwMTE2ZDFlZTZkXkEyXkFqcGc@._V1_SX300.jpg,https://youtu.be/xzglePk2zAo
10 Minutes Gone,2019,"Action, Crime, Mystery",3.6,A crime thriller that centers on a man whose memory has been lost due to a bank heist gone wrong. The character will need to piece together the missing 10 minutes from his memory in order to determine who sabotaged him.,https://m.media-amazon.com/images/M/MV5BOGQ1YzkxNjYtMTFiNy00MDExLTkzOGYtNzRhOTczMmZlZjY1XkEyXkFqcGc@._V1_SX300.jpg,https://youtu.be/iPrvA79tfyE
